529,Emong,CAR,Kalinga,2009,TY,4,150,995.1,3,194967,59,219000,25,68,106,90,51,612,13133,19891,3671,239,0,14,33703120
391,Frank,IV-A,Quezon,2008,TY,6,160,988,3,1916989,217,235161,31,71,105,94,232,2199,135212,282292,87723,38028,20,37570,132203948.3
732,Basyang,V,Catanduanes,2010,TY,4,120,995.9,2,246300,165,155263,31,77,105,83,109,1134,9307,26602,11292,1897,18,569,8550000
771,Bebeng,VIII,Samar,2011,TS,6,85,997,1,742565,123,163975,47,77,104,74,78,819,28383,38167,64684,5520,1,147,0
10,Labuyo,CAR,Abra,2005,TY,5,95,998.9,2,224606,53,177694,26,69,105,87,57,549,13581,27483,1978,239,2,0,1126000
640,Ondoy,IV-A,Batangas,2009,TS,4,110,989.5,1,2332719,749,249000,17,60,101,94,236,2022,56485,409118,17361,4092,11,2101,152756536
371,Cosme,III,Pampanga,2008,TS,7,105,993.7,2,2265753,1097,212922,5,60,103,92,197,1795,33251,400275,12751,8054,0,0,2074743.45
1887,Nina,V,Camarines Norte,2016,TY,5,185,986.6,0,591746,260,159028,32,73,103,86,103,1169,11307,52625,37714,9087,0,137779,82554500
1511,Mario,NCR,Metro Manila,2014,TY,5,105,982,2,12666191,20445,370275,4,46,101,95,162,470,344593,2139922,41695,20797,0,0,0
596,Kiko,III,Nueva Ecija,2009,TY,7,175,967.6,1,1917470,337,221000,30,59,103,92,198,1773,58496,319839,36111,6076,0,0,29452578.29
1089,Karen,NCR,Metro Manila,2012,TY,4,185,943,0,12254389,19780,379000,4,47,98,95,186,467,349373,2097540,46242,26340,0,0,0
363,Mina,CAR,Benguet,2007,TY,8,175,992.7,2,674459,239,200696,26,53,96,88,56,580,16088,199901,1570,1915,0,0,30400000
242,Dodong,CAR,Kalinga,2007,TS,2,75,994,0,182326,56,200696,26,73,105,88,56,580,14083,16925,3342,295,0,0,250000
108,Florita,VI,Iloilo,2006,TY,5,120,982.8,0,2083107,410,129905,22,61,104,82,86,1604,164316,180774,64552,4532,0,11,0
523,Emong,II,Cagayan,2009,TY,4,150,997.5,2,1107096,118,181000,28,60,103,88,89,1052,51823,153032,27867,3953,6,0,175155104
865,Kabayan,NCR,Metro Manila,2011,TY,9,175,970,0,12053536,19456,371173,4,47,97,95,184,465,350258,2064904,48829,28680,0,0,0
1345,Yolanda (Haiyan),IV-A,Laguna,2013,TY,3,235,910,4,2883346,1495,266244,7,51,99,95,212,2568,74704,475363,8230,3832,0,38,392640
1748,Lando,CAR,Apayao,2015,TY,8,185,943,2,119184,26,245161,23,58,92,91,23,677,8730,10391,2610,209,0,162,315571000
1540,Mario,III,Zambales,2014,TY,5,105,982,2,809758,212,244331,16,59,97,92,167,1923,16704,130485,14102,2261,0,12,34660000
1417,Caloy,XI,Davao del Norte,2014,TD,2,45,1004.4,1,1001809,293,183197,33,57,96,85,50,1009,74024,88716,27333,2105,0,0,0
1158,Pablo,XI,Davao del Sur,2012,TY,8,185,943,3,2117505,460,194000,24,62,101,85,108,1053,185528,216682,81167,4901,0,389,634299275
93,Florita,III,Bulacan,2006,TY,5,120,982.8,0,2729554,981,197640,7,61,101,90,201,1866,55401,480989,12471,9622,2,0,0
